ID,Price
0,62
1,50
2,37
3,0
4,66
5,40
6,22
7,106
8,0
9,23
10,114
11,114
12,62
13,62
14,62
15,89
16,62
17,29
18,9
19,114
20,22
21,48
22,95
23,80
24,13
25,121
26,121
27,66
28,109
29,109
30,40
31,62
32,83
33,40
34,62
35,45
36,71
37,40
38,8
39,114
40,62
41,1
42,62
43,121
44,22
45,106
46,114
47,40
48,63
49,8
50,62
51,59
52,54
53,102
54,106
55,13
56,106
57,40
58,62
59,62
60,62
61,13
62,109
63,22
64,109
65,62
66,65
67,62
68,77
69,62
70,109
71,34
72,15
73,40
74,95
75,66
76,0
77,40
78,46
79,114
80,114
81,62
82,24
83,47
84,62
85,36
86,95
87,62
88,37
89,40
90,21
91,62
92,60
93,109
94,46
95,40
96,71
97,40
98,121
99,40
100,50
101,74
102,40
103,119
104,106
105,8
106,109
107,40
108,62
109,40
110,114
111,109
112,40
113,40
114,3
115,40
116,124
117,62
118,77
119,50
120,39
121,109
122,40
123,121
124,40
125,62
126,40
127,40
128,114
129,109
130,109
131,62
132,62
133,114
134,13
135,65
136,40
137,6
138,40
139,52
140,46
141,30
142,62
143,121
144,80
145,39
146,122
147,40
148,66
149,22
150,40
151,62
152,62
153,62
154,55
155,50
156,114
157,66
158,114
159,80
160,84
161,121
162,62
163,62
164,106
165,62
166,40
167,62
168,40
169,50
170,80
171,40
172,50
173,116
174,80
175,120
176,13
177,125
178,8
179,22
180,95
181,40
182,62
183,0
184,62
185,50
186,25
187,114
188,40
189,109
190,13
191,40
192,62
193,22
194,50
195,62
196,13
197,82
198,0
199,55
200,40
201,62
202,122
203,50
204,114
205,40
206,109
207,66
208,9
209,40
210,62
211,71
212,62
213,109
214,62
215,22
216,40
217,114
218,105
219,109
220,121
221,62
222,121
223,26
224,66
225,59
226,62
227,73
228,40
229,95
230,84
231,34
232,104
233,50
234,35
235,17
236,62
237,62
238,62
239,102
240,73
241,109
242,114
243,50
244,50
245,40
246,114
247,62
248,109
249,121
250,62
251,40
252,18
253,66
254,62
255,73
256,6
257,40
258,73
259,62
260,3
261,62
262,62
263,73
264,62
265,8
266,109
267,66
268,59
269,98
270,62
271,62
272,62
273,114
274,62
275,84
276,84
277,62
278,22
279,118
280,62
281,50
282,73
283,22
284,62
285,62
286,22
287,40
288,62
289,78
290,106
291,109
292,40
293,109
294,95
295,62
296,6
297,114
298,62
299,46
300,13
301,121
302,62
303,62
304,0
305,62
306,62
307,106
308,50
309,22
310,109
311,36
312,0
313,8
314,109
315,76
316,71
317,114
318,29
319,38
320,121
321,60
322,109
323,58
324,62
325,62
326,0
327,59
328,32
329,40
330,50
331,66
332,8
333,40
334,3
335,121
336,0
337,121
338,62
339,62
340,50
341,40
342,109
343,109
344,92
345,40
346,62
347,127
348,0
349,40
350,40
351,109
352,50
353,103
354,29
355,50
356,114
357,109
358,66
359,109
360,62
361,62
362,50
363,40
364,62
365,62
366,40
367,22
368,40
