ID,Price
0,109
1,114
2,37
3,29
4,22
5,40
6,22
7,106
8,66
9,23
10,4
11,65
12,31
13,60
14,60
15,89
16,60
17,114
18,9
19,114
20,60
21,48
22,95
23,59
24,13
25,121
26,121
27,66
28,60
29,60
30,114
31,60
32,83
33,3
34,60
35,45
36,81
37,61
38,8
39,84
40,60
41,1
42,60
43,121
44,60
45,114
46,114
47,40
48,63
49,8
50,60
51,59
52,106
53,22
54,106
55,72
56,6
57,39
58,62
59,60
60,60
61,28
62,60
63,22
64,60
65,60
66,65
67,60
68,77
69,60
70,109
71,34
72,15
73,40
74,95
75,22
76,0
77,62
78,46
79,114
80,106
81,60
82,24
83,47
84,60
85,36
86,95
87,60
88,37
89,16
90,21
91,60
92,60
93,60
94,46
95,22
96,71
97,0
98,121
99,40
100,34
101,74
102,9
103,119
104,106
105,8
106,109
107,40
108,60
109,40
110,4
111,60
112,40
113,40
114,3
115,109
116,12
117,60
118,77
119,50
120,39
121,109
122,3
123,0
124,88
125,60
126,40
127,39
128,114
129,109
130,109
131,109
132,60
133,4
134,6
135,65
136,23
137,12
138,121
139,52
140,62
141,30
142,60
143,121
144,80
145,39
146,122
147,40
148,66
149,60
150,34
151,109
152,109
153,60
154,55
155,60
156,114
157,66
158,60
159,80
160,84
161,121
162,60
163,109
164,106
165,60
166,40
167,109
168,40
169,34
170,98
171,22
172,13
173,116
174,80
175,39
176,22
177,125
178,8
179,74
180,95
181,29
182,60
183,0
184,109
185,50
186,25
187,114
188,0
189,60
190,59
191,40
192,60
193,22
194,50
195,60
196,59
197,82
198,72
199,55
200,40
201,109
202,91
203,44
204,95
205,16
206,60
207,66
208,9
209,40
210,60
211,106
212,60
213,109
214,60
215,86
216,40
217,84
218,105
219,60
220,42
221,60
222,121
223,26
224,66
225,28
226,60
227,73
228,40
229,36
230,84
231,34
232,104
233,60
234,35
235,17
236,60
237,60
238,60
239,102
240,28
241,109
242,60
243,29
244,50
245,121
246,11
247,60
248,109
249,121
250,60
251,27
252,18
253,66
254,60
255,73
256,72
257,40
258,28
259,60
260,3
261,60
262,109
263,73
264,60
265,23
266,109
267,95
268,59
269,6
270,60
271,60
272,109
273,114
274,60
275,84
276,84
277,60
278,60
279,118
280,60
281,95
282,73
283,60
284,60
285,60
286,22
287,40
288,60
289,78
290,106
291,109
292,40
293,109
294,96
295,60
296,22
297,114
298,60
299,46
300,12
301,121
302,60
303,109
304,95
305,60
306,109
307,72
308,106
309,22
310,109
311,36
312,34
313,8
314,60
315,76
316,71
317,114
318,29
319,38
320,36
321,13
322,60
323,50
324,60
325,109
326,38
327,4
328,32
329,40
330,47
331,124
332,6
333,40
334,3
335,6
336,22
337,121
338,60
339,60
340,115
341,40
342,60
343,60
344,92
345,40
346,60
347,60
348,0
349,6
350,62
351,109
352,50
353,103
354,0
355,115
356,114
357,60
358,66
359,109
360,60
361,60
362,14
363,124
364,60
365,60
366,40
367,60
368,40
369,60
370,29
371,60
372,28
373,113
374,50
375,37
376,22
377,2
378,60
379,60
380,37
381,0
382,50
383,12
384,109
385,22
386,40
387,46
388,50
389,121
390,64
391,114
392,0
393,62
394,50
395,88
396,20
397,50
398,93
399,38
400,97
401,66
402,71
403,90
404,60
405,6
406,94
407,3
408,0
409,121
410,80
411,114
412,71
413,66
414,12
415,60
416,52
417,60
418,60
419,39
420,60
421,60
422,60
423,121
424,95
425,0
426,60
427,60
428,12
429,60
430,22
431,2
432,60
433,95
434,73
435,60
436,40
437,0
438,109
439,50
440,72
441,73
442,40
443,8
444,72
445,23
446,116
447,50
448,36
449,0
450,60
451,66
452,60
453,60
454,25
455,43
456,109
457,37
458,109
459,22
460,70
461,38
462,39
463,128
464,60
465,12
466,18
467,57
468,22
469,114
470,84
471,114
472,60
473,60
474,106
475,66
476,60
477,40
478,109
479,60
480,60
481,109
482,40
483,60
484,60
485,60
486,121
487,109
488,23
489,109
490,60
491,60
492,60
493,60
494,60
495,22
496,109
497,60
498,125
499,60
500,46
501,60
502,114
503,29
504,50
505,25
506,28
507,73
508,50
509,121
510,67
511,101
512,53
513,60
514,109
515,60
516,60
517,62
518,10
519,6
520,106
521,126
522,60
523,126
524,40
525,60
526,126
527,22
528,55
529,40
530,80
531,3
532,92
533,0
534,38
535,22
536,39
537,3
538,114
539,60
540,22
541,88
542,12
543,99
544,68
545,18
546,13
547,112
548,0
549,4
550,55
551,11
552,22
553,79
554,76
555,39
556,38
557,60
558,95
559,81
560,19
561,119
562,64
563,66
564,60
565,54
566,114
567,31
568,60
569,66
570,0
571,65
572,84
573,62
574,66
575,84
576,40
577,60
578,109
579,29
580,33
581,95
582,40
583,60
584,128
585,68
